Order ID,Date,Order Date Text,Year,Product,Category,State,Region,Region (Messy),City-State,Country,Quantity Sold,Cost Price,Selling Price,Discount Flag,Salesperson,Target Margin %
1001,01/01/2021,2021/01/01,2021,Product 1,Electronics,New York,North,  North ,"New York City, New York",USA,,,ERROR,Yes,alex,0.20
1001,01/01/2021,01-01-2021,2021,Product 1,Electronics,Pennsylvania,North,  North ,"Philadelphia, Pennsylvania",USA,24.0,600.0,768.58,No,Brooke,0.25
1002,01/01/2021,01-01-2021,2021,Product 1,Electronics,Texas,South,  South ,"Houston, Texas",USA,29.0,725.0,897.15,Unknown,CHRIS,0.30
1002,01/01/2021,01-01-2021,2021,Product 1,Electronics,Georgia,South,  South ,"Atlanta, Georgia",USA,27.0,675.0,813.56,Yes,Drew,0.15
1003,01/01/2021,01-01-2021,2021,Product 1,Electronics,Florida,East,  East ,"Miami, Florida",USA,30.0,750.0,966.61,No,Elliot,0.20
1003,01/01/2021,01-01-2021,2021,Product 1,Electronics,North Carolina,East,  East ,"New York City, North Carolina",USA,16.0,400.0,480.07,Unknown,,0.25
1004,01/01/2021,01-01-2021,2021,Product 1,Electronics,California,West,  West ,"Philadelphia, California",USA,19.0,475.0,613.76,Yes,alex,0.30
1004,01/01/2021,01-01-2021,2021,Product 1,Electronics,Washington,West,  West ,"Houston, Washington",USA,29.0,725.0,1078.97,No,Brooke,0.15
1005,01/01/2021,01-01-2021,2021,Product 2,Electronics,New York,North,  North ,"Atlanta, New York",USA,22.0,330.0,453.5,Unknown,CHRIS,0.20
1005,01/01/2021,01-01-2021,2021,Product 2,Electronics,Pennsylvania,North,  North ,"Miami, Pennsylvania",USA,16.0,240.0,339.19,Yes,Drew,0.25
1006,01/01/2021,2021/01/01,2021,Product 2,Electronics,Texas,South,  South ,"New York City, Texas",USA,33.0,495.0,596.94,No,Elliot,0.30
1006,01/01/2021,01-01-2021,2021,Product 2,Electronics,Georgia,South,  South ,"Philadelphia, Georgia",USA,23.0,345.0,400.04,Unknown,,0.15
1007,01/01/2021,01-01-2021,2021,Product 2,Electronics,Florida,East,  East ,"Houston, Florida",USA,31.0,465.0,553.58,Yes,alex,0.20
1007,01/01/2021,01-01-2021,2021,Product 2,Electronics,North Carolina,East,  East ,"Atlanta, North Carolina",USA,18.0,270.0,335.04,No,Brooke,0.25
1008,01/01/2021,01-01-2021,2021,Product 2,Electronics,California,West,  West ,"Miami, California",USA,27.0,405.0,606.51,Unknown,CHRIS,0.30
1008,01/01/2021,01-01-2021,2021,Product 2,Electronics,Washington,West,  West ,"New York City, Washington",USA,31.0,465.0,657.25,Yes,Drew,0.15
1009,01/01/2021,01-01-2021,2021,Product 3,Electronics,New York,North,  North ,"Philadelphia, New York",USA,19.0,950.0,1251.34,No,Elliot,0.20
1009,01/01/2021,01-01-2021,2021,Product 3,Electronics,Pennsylvania,North,  North ,"Houston, Pennsylvania",USA,20.0,1000.0,1375.44,Unknown,,0.25
1010,01/01/2021,01-01-2021,2021,Product 3,Electronics,Texas,South,  South ,"Atlanta, Texas",USA,35.0,1750.0,2199.89,Yes,alex,0.30
1010,01/01/2021,01-01-2021,2021,Product 3,Electronics,Georgia,South,  South ,"Miami, Georgia",USA,30.0,1500.0,2107.19,No,Brooke,0.15
1011,01/01/2021,2021/01/01,2021,Product 3,Electronics,Florida,East,  East ,"New York City, Florida",USA,25.0,1250.0,1434.6,Unknown,CHRIS,0.20
1011,01/01/2021,01-01-2021,2021,Product 3,Electronics,North Carolina,East,  East ,"Philadelphia, North Carolina",USA,26.0,1300.0,1700.78,Yes,Drew,0.25
1012,01/01/2021,01-01-2021,2021,Product 3,Electronics,California,West,  West ,"Houston, California",USA,23.0,1150.0,1631.81,No,Elliot,0.30
1012,01/01/2021,01-01-2021,2021,Product 3,Electronics,Washington,West,  West ,"Atlanta, Washington",USA,25.0,1250.0,1734.89,Unknown,,0.15
1013,01/01/2021,01-01-2021,2021,Product 4,Clothing,New York,North,  North ,"Miami, New York",USA,22.0,55.0,61.37,Yes,alex,0.20
